Symbol,AvgCount,AvgProbability,AvgCodeLength,AvgTotalBits,AvgEntropy
국,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
어,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
z,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
ह,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ि,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
न,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
्,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
द,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
ी,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
Р,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ف,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ا,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
ر,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
س,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ی,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
—,2.0,0.0009698978058897209,10.5,19.5,0.009220971874849796
@,2.0,0.0009698978058897209,10.5,19.5,0.009220971874849796
1,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
6,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
3,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
J,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
V,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
G,1.5,0.0006818793727099973,10.5,15.0,0.006914905132257339
é,1.0,0.0003938609395302739,11.5,11.5,0.0043914168740648045
¡,1.0,0.0003938609395302739,11.5,11.5,0.0043914168740648045
©,1.0,0.0003938609395302739,12.0,12.0,0.0043914168740648045
0,1.0,0.0003938609395302739,12.0,12.0,0.0043914168740648045
5,1.0,0.0003938609395302739,11.5,11.5,0.0043914168740648045
ї,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
н,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ь,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
Ε,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
η,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ν,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ι,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
κ,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ά,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
繁,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ע,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ב,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
ר,1.0,0.00021168501270110075,13.0,13.0,0.002583783499025647
י,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ת,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
